            IDF1    IDP    IDR   Rcll   Prcn  GT  MT  PT ML   FP    FN  IDs    FM   MOTA  MOTP  IDt IDa IDm
.DS_Store    NaN    NaN    NaN    NaN    NaN   0   0   0  0    0     0    0     0    NaN   NaN    0   0   0
0001       76.3%  94.7%  63.9%  66.3%  98.2%   7   4   2  1    5   141    1    19  64.8% 0.132    0   1   0
0002       86.0%  87.7%  84.3%  95.6%  99.5%   4   4   0  0    1    10    2     4  94.3% 0.129    1   1   0
0003       88.8%  91.2%  86.5%  91.8%  96.8%  11  10   1  0   17    46    8    16  87.4% 0.194    6   3   3
0004       95.5%  91.3% 100.0% 100.0%  91.3%   1   1   0  0    8     0    0     0  90.5% 0.084    0   0   0
0005       91.2%  93.6%  88.9%  95.0% 100.0%   8   7   1  0    0    19    6     5  93.4% 0.088    3   3   0
0009       55.9%  57.4%  54.4%  94.8% 100.0%   8   7   1  0    0    21   20    10  89.9% 0.056    4  12   0
0010       91.1%  91.8%  90.4%  98.5% 100.0%   4   4   0  0    0     2    3     1  96.3% 0.138    0   3   0
0011       65.1%  67.5%  62.9%  92.6%  99.4%   3   3   0  0    1    13    7     4  88.0% 0.129    2   6   1
0012       84.0%  85.1%  82.9%  95.6%  98.1%   2   2   0  0    3     7    3     5  91.8% 0.170    0   3   0
0014       33.9%  49.4%  25.8%  49.5%  94.5%  41  11  17 13   64  1117  195   189  37.7% 0.190  202  20  28
0015       65.7%  74.7%  58.7%  74.2%  94.4%  41  14  27  0  185  1085  276   271  63.2% 0.180  263  26  20
0016       85.5%  86.0%  85.0%  98.6%  99.8%  12  12   0  0    2    17   23     8  96.6% 0.100   16   7   1
0018       91.4%  96.1%  87.3%  89.0%  98.0%  17  15   2  0    9    55    9    29  85.5% 0.153    9   0   0
0020       91.6%  98.8%  85.5%  85.5%  98.8%   5   4   1  0   11   150    0    41  84.4% 0.156    0   0   0
0021       63.1%  65.2%  61.1%  92.5%  98.6%   6   4   2  0    4    23   20    12  84.6% 0.073    5  12   0
0025       90.6%  94.5%  87.0%  91.2%  99.1%  13   8   5  0   24   257    8   114  90.1% 0.162    7   3   3
0028       89.9%  91.6%  88.3%  95.3%  98.8%   8   6   2  0    9    37    2    20  93.8% 0.148    1   2   1
0036       94.0%  97.3%  91.0%  91.9%  98.4%   8   7   1  0   30   158    3    95  90.2% 0.181    3   2   2
0038       81.3%  78.3%  84.5%  92.0%  85.2%   4   4   0  0  110    55   13    11  74.1% 0.094    2   3   0
0040       88.9%  90.3%  87.6%  95.5%  98.5%  10   9   1  0   23    71    3    43  93.8% 0.165    1   2   0
0043       33.6%  38.6%  29.7%  75.9%  98.5%  31  24   3  4   18   381  123    57  67.0% 0.128  104  17   5
